date,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2019-01-01,21.99949998,55.76591921,8.920918496,0.0
2019-02-01,22.42658333,53.34218242,10.60319866,0.0
2019-04-01,21.76616667,60.33061692,9.091025129,0.0
2019-05-01,22.38699998,63.72121783,9.215504967,0.0
2019-06-01,21.98908333,64.06788521,10.66097972,0.0
2019-07-01,22.98283333,55.44711683,14.41448976,0.0
2019-08-01,22.84116667,48.46479333,11.47557224,0.0
2019-09-01,22.04741667,54.08841596,10.41097033,0.0
2019-10-01,21.10158329,63.81475083,10.03589061,0.0
2019-11-01,21.94741665,60.590958,8.458821308,0.0
2019-12-01,21.88699998,67.11561763,9.9194547,0.0
2019-01-13,21.03908333,70.26237771,11.31365605,0.0
2019-01-14,22.19533333,56.76488946,12.18431529,0.0
2019-01-15,23.42866667,52.11035913,11.50405178,0.0
2019-01-16,24.02866667,55.51894517,10.43397823,0.0
2019-01-17,23.387,65.48451242,8.596420833,0.0
2019-01-18,23.05366667,63.35924525,10.98251114,0.0
2019-01-19,22.87658333,64.84859221,8.915275104,0.0
2019-01-20,23.77033333,69.81995996,7.091438783,0.0
2019-01-21,24.04325,70.45097425,7.7432518,0.0
2019-01-22,23.1495,78.54351183,9.354059979,0.0
2019-01-23,22.58908333,81.42831567,7.013004863,0.008333333
2019-01-24,21.60575,71.27971942,12.64637629,0.0
2019-01-25,21.74533333,57.88060579,14.84107648,0.0
2019-01-26,21.29116667,45.50648421,19.0065775,0.0
2019-01-27,21.75575,48.9552725,18.27856444,0.0
2019-01-28,22.987,45.92984167,18.05207548,0.0
2019-01-29,22.77241667,40.38579379,16.17362075,0.0
2019-01-30,22.25991667,43.56978125,12.11109399,0.0
2019-01-31,22.17866667,58.37593829,9.578268342,0.0
2019-01-02,22.00575,64.21977288,9.871503554,0.0
2019-02-02,22.43075,62.01149083,9.817477338,0.0
2019-03-02,22.02033333,63.30242988,10.24189214,0.0
2019-05-02,22.87658333,67.62123867,8.758333758,0.0
2019-06-02,24.23075,67.84346679,8.73628335,0.0
2019-07-02,23.71616667,77.11295413,9.697130096,0.0
2019-08-02,22.92658333,74.45442229,10.51281075,0.0
2019-09-02,21.23491667,70.21489038,11.95751965,0.0
2019-10-02,19.45991667,58.18569671,14.31974313,0.0
2019-11-02,20.31408331,43.717408,12.42728672,0.0
2019-12-02,21.69533331,47.71528804,8.13928775,0.0
2019-02-13,23.3995,54.25562521,9.401736604,0.0
2019-02-14,26.30783346,47.15558537,8.162548979,0.0
2019-02-15,24.76408333,63.36200429,13.34346777,0.0
2019-02-16,24.25783333,63.46841004,13.51615933,0.0
2019-02-17,22.49741667,72.29440092,12.26613439,0.0
2019-02-18,22.05366667,65.56362883,10.7277219,0.0
2019-02-19,21.90158333,68.91393842,8.959150608,0.0
2019-02-20,22.837,67.73830771,10.47436942,0.0
2019-02-21,23.49116667,65.85922829,11.5194967,0.0
2019-02-22,24.03283333,79.57531946,7.267849746,0.0
2019-02-23,24.15158333,80.04660671,11.52073686,0.0
2019-02-24,25.51408333,65.47625733,13.12066452,0.0
2019-02-25,26.19533358,62.37087213,11.48053567,0.0
2019-02-26,25.28491667,57.53880488,13.83017907,0.0
2019-02-27,24.44741667,66.92213346,12.76927995,0.0
2019-01-03,24.33908333,71.98450275,11.85639463,0.0
2019-02-03,23.08491667,78.27705725,9.377053079,0.0
2019-03-03,23.82866667,59.43707588,12.06862873,0.0
2019-04-03,23.67241667,63.03413392,8.439020613,0.0
2019-05-03,24.35991667,78.40941408,7.853049613,0.0
2019-06-03,23.95158333,82.61277413,8.028996971,0.0
2019-07-03,23.79325,83.31944979,9.643004917,0.0
2019-08-03,23.87241667,77.71223483,8.490060758,0.0
2019-09-03,23.04741667,76.35252354,10.27253366,0.0
2019-10-03,23.45575,73.85746462,11.7720593,0.0
2019-11-03,24.85158333,68.74246725,13.69787351,0.0
2019-12-03,25.9495,60.75703642,12.64302192,0.0
2019-03-13,25.32033333,68.01963588,10.10230956,0.0
2019-03-14,24.40991667,78.63473988,13.55269504,0.0
2019-03-15,24.33491667,78.29742367,10.51117592,0.0
2019-03-16,23.98908333,75.14634388,10.42294743,0.0
2019-03-17,24.58908333,66.99106654,15.30274887,0.0
2019-03-18,26.05158333,46.32591933,14.56567249,0.0
2019-03-19,25.15366667,62.79585713,9.674601171,0.0
2019-03-20,24.74533333,71.51918158,9.36829975,0.0
2019-03-21,25.53283333,59.85520675,11.57656648,0.0
2019-03-22,25.56825,66.23903896,8.684293538,0.0
2019-03-23,24.92658333,80.00494983,9.943293432,0.0
2019-03-24,24.57033333,79.09338858,9.964476179,0.0
2019-03-25,24.887,74.06852367,11.76227282,0.0
2019-03-26,27.25575,57.70029537,13.16557053,0.0
2019-03-27,29.04950025,47.19748833,13.76153336,0.0
2019-03-28,29.25158371,47.42986192,14.76771118,0.0
2019-03-29,28.79741704,54.47371417,12.08931875,0.0
2019-03-30,26.53075025,77.64738779,8.423295671,0.0
2019-03-31,26.6995,75.61236504,10.0174744,0.0
2019-01-04,27.57658346,69.87855025,10.43450414,0.0
2019-02-04,27.15575,80.01242558,10.1253243,0.0
2019-03-04,27.42658333,76.29045621,9.134762867,0.0
2019-04-04,26.312,76.46106,8.403512375,0.0
2019-05-04,26.12866667,82.64376792,8.683967875,0.0
2019-06-04,27.10158333,79.55650813,9.916101779,0.0
2019-07-04,27.55158333,80.95018821,9.7738918,0.0
2019-08-04,27.25366667,79.73993842,8.078070621,0.0
2019-09-04,27.10991667,80.68339679,9.092059433,0.0
